林道名,関係市町村,事業型,事業内容,工期,総事業費千円,ほか表記,資料ページ,行政出典,確認日
妙義荒船線,佐久市,林道改良事業,林道改良事業（改良L103=ｍ）,R7～R7,57000,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
九竜平線,佐久市,林道改良事業,林道改良事業（改良L=50ｍ）,R7～R8,95910,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
大上線,佐久穂町,林道改良事業,林道改良事業（改良L=20ｍ）,R7～R7,19160,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
八ヶ岳線,南牧村,林道改良事業,林道改良事業（改良L=150ｍ）,R7～R10,121340,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
山木1号線,北相木村,林道改良事業,林道改良事業（改良L=32ｍ）,R7～R7,22800,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
森泉山線,御代田町,林道改良事業,林道改良事業（改良L=20ｍ）,R7～R7,22230,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
日影入線,伊那市,林道改良事業,林道改良事業（改良L=32ｍ）,R7～R10,41920,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
南アルプス線,伊那市,林道改良事業,林道改良事業（改良L=151ｍ）,R7～R11,145620,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
古城線,駒ヶ根市,林道改良事業,林道改良事業（改良L=150ｍ）,R7～R11,95800,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
横根山線,飯島町,林道改良事業,林道改良事業（改良L=115ｍ）,R7～R10,80500,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
東沢線,飯田市,林道改良事業,林道改良事業（舗装L=1330ｍ） | 林道改良事業（改良L=12ｍ）,R8～R11 | R8～R9,72300 | 14120,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
御池山線,飯田市,林道改良事業,林道改良事業（改良L=60ｍ）,R10～R11,45600,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
大谷霧ヶ原線,阿智村,林道改良事業,"林道改良事業（改良L=2,100ｍ）",R8～R11,95760,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
本谷線,豊丘村,林道改良事業 | 林道点検診断・保全整備事業,林道改良事業（改良L=64ｍ） | 点検診断・保全整備（点検診断L=59m） | 点検診断・保全整備（保全整備L=31m）,R7～R8 | R10～R10 | R8～R8,37620 | 3400 | 5900,なし,2 | 3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
本洞線,木曽町,林道改良事業,林道改良事業（改良L=83ｍ）,R7～R7,44711,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
樽沢線,王滝村,林道改良事業,林道改良事業（改良L=12ｍ）,R7～R7,27360,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
野尻与川線,大桑村,林道改良事業,林道改良事業（改良L=5ｍ）,R7～R7,19160,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
宮ノ入線,松本市,林道改良事業,林道改良事業（改良L=545ｍ）,R7～R11,120860,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
烏川線,安曇野市,林道改良事業,林道改良事業（改良L=33ｍ）,R7～R7,17417,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
長峰線,安曇野市,林道改良事業,林道改良事業（改良L=120ｍ）,R8～R11,82080,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
樫俣線,朝日村,林道改良事業,林道改良事業（改良L=129ｍ）,R7～R9,96584,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
大川線,長野市,林道改良事業 | 林道点検診断・保全整備事業,林道改良事業（改良L=380ｍ） | 点検診断・保全整備（点検診断L=823m）,R7～R11,107380 | 19260,なし,2 | 4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
中津川線,山ノ内町,林道改良事業,林道改良事業（改良L=8ｍ）,R7～R8,19210,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
城山線,佐久市,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=63m）,R7～R7,2500,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
虚空蔵線,上田市,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=6m）,R7～R7,5280,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
氷沢線,上田市,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=14m）,R8～R8,5940,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
和田武石線,上田市,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=5m）,R9～R9,2420,なし,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
沢山線,上田市,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=27m） | 点検診断・保全整備（点検診断L=82m）,R9～R9 | R10～R10,1210 | 3960,あり,2,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
横河山線,岡谷市,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=63m）,R7～R7,3292,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
小横川線,辰野町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=39m）,R7～R7,3860,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
中樽線,箕輪町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=165m）,R7～R7,7740,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
野底山線,飯田市,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=13m） | 点検診断・保全整備（点検診断L=557m）,R8～R9 | R7～R7,14790 | 13460,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
鳩打線,飯田市,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=360m）,R8～R8,3400,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
千遠線,飯田市,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=350m）,R9～R9,3400,なし,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
松川入線,飯田市,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=463m）,R10～R10,15500,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
赤石線,飯田市,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=570m）,R11～R11,12760,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
畑の沢線,飯田市,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=6m）,R10～R11,6155,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
間沢川線,松川町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=26m）,R7～R7,2808,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
松川線,松川町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=335m）,R11～R11,9100,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
弓矢沢線,高森町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=92m）,R11～R11,3600,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
忍沢線,阿智村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=76m）,R7～R7,4080,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
弓の又線,阿智村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=336m）,R10～R10,6120,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
鳥城線,阿智村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=141m）,R11～R11,4540,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
小河内川線,天龍村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=463m）,R11～R11,5220,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
万古川線,泰阜村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=262m）,R11～R11,7300,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
売木うつぼ線,阿南町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=218m）,R7～R7,9120,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
外山線,根羽村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=214m）,R11～R11,9100,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
極楽峠線,下條村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=204m）,R7～R7,6580,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
大島氏乗線,喬木村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=236m）,R11～R11,7060,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
間沢川線,豊丘村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=50m） | 点検診断・保全整備（保全整備L=13m）,R10～R10 | R8～R9,2920 | 1996,なし,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
大島虻川線,豊丘村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=78m） | 点検診断・保全整備（保全整備L=15m）,R10～R10 | R8～R8,3400 | 2500,なし,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
郷士沢線,豊丘村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=11m）,R10～R10,472,なし,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
鳥倉線,大鹿村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=236m）,R11～R11,7740,あり,3,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
大畑線,上松町,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=18m） | 点検診断・保全整備（点検診断L=226m）,R7～R7,8550 | 5900,あり,3 | 4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
川向梛野線,南木曽町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=745m） | 点検診断・保全整備（点検診断L=188m）,R7～R7 | R11～R11,6840 | 5700,なし,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
長根線,南木曽町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=160m）,R10～R10,5700,あり,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
洞ノ沢線,木曽町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=132m）,R7～R7,10240,あり,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
東又線,木曽町,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=5m）,R8～R8,3860,なし,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
大沢線,木曽町,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=6m）,R9～R9,6120,なし,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
熊澤幸沢線,木曽町,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=224m）,R10～R10,11400,あり,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
小曽部線,塩尻市,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=7m）,R7～R7,6840,なし,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
栃平線,筑北村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=86m）,R7～R7,5700,あり,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
米子不動線,須坂市,林道点検診断・保全整備事業,点検診断・保全整備（保全整備L=13m）,R7～R7,3217,なし,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
上和桐山線,小川村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=28m）,R7～R7,1327,あり,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
秋山線,栄村,林道点検診断・保全整備事業,点検診断・保全整備（点検診断L=93m）,R7～R7,2643,なし,4,長野県『農山漁村地域整備計画（R7-R11）』 https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,2026-07-10
